"wink","winked","pf"," He winked at Trillian who raised her eyebrows and widened her eyes at him."
"eavesdrop","eavesdropping","impf"," He had the uncomfortable feeling that he was eavesdropping on something furtive, shameful."
"rejoice","rejoice","impf"," And the young friar looked on her as an apparition, unexpected and wonderful, too beautiful and great for him to be able to rejoice in without pain."
"dawn","dawned","impf"," It may be that a new day has dawned, but who knows how long it will last?"
"wing","winging","impf"," "" Uncle Wilkins is winging his way back to Atlanta."
"placate","placate","pf"," "" It might work, "" I said, trying to placate him."
"tickle","tickled","pf"," Frodo had a good voice, and the song tickled their fancy."
"object","objected","impf"," She ought to have objected, refused to go with him, insisted on returning and handing the taxi over to the Barclays, walked back, revolted by his unscrupulousness, into the dance."
"wind","winding","impf"," Trolley-buses and buses hummed or ground their way towards it and away from it, with columns of cars winding, straightening, contracting and thinning out."
"interject","interjected","pf"," “ Signore, ” Olivetti interjected."
"harbour","harboured","impf"," Precisely because he was himself uncertain, and harboured unacknowledged misgivings, he could not listen calmly to other people 's criticism."
"hang","hung","impf"," He hung on, breathing heavily."
"throb","throbbed","impf"," Two drums throbbed monotonously, and, against that dark background, a pipe wove and unfurled strange melodies with unexpected trills and pauses."
"SET","SET","pf"," WHEN I SET THIS DOWN, HE WILL KILL US BOTH."
"achieve","achieve","pf"," “ What ’ s that supposed to achieve? ” asked Ford."
"overdo","overdo","impf"," But then, Lije and I do have permission to eat in our apartment three times a week if we want to- Lije is quite successful at the Bureau and we have very nice status-and I thought that just for this occasion, if you wanted to join us, we would have a little private feast of our own, though I do think that people who overdo their privacy privileges are just a bit anti-social, you know. """
"roll","roll","impf"," The flying toolkits screeched and sawed and drilled and fried things with light throughout that day and all through the night time, and in the morning, stunningly, a giant mobile gantry started to roll westwards on several roads simultaneously with the robot standing on it, supported within the gantry."
"blur","blur","pf"," In the late eighteenth century, a new configuration was to appear that would definitively blur the old space of natural history for modem eyes."
"suffice","suffice","pf"," As to his physical appearance, suffice it to say that Doyle was man enough for the tasks he set himself, sturdy, athletic, without vanity but not above a conditioned twinge of shame if he encountered social betters while wearing cuff or collar frayed by his financial limits."
"concede","conceded","pf"," ‘ Some of them are, ’ she conceded."
"turn","turned","pf"," He turned and looked at Zaphod."
"elect","elected","pf"," In 1904, he was in turn elected Mayor of Chitry."
"deluge","deluged","pf"," When the buckets fell, she was at first only aware of a loud, metallic clang cutting through the music, and then she was deluged in warmth and wetness."
"result","resulted","pf"," Eventually Dean got information from the prisoner which resulted in his partner 's arrest, but the man had maintained his low opinion of Judge Kemp, and, based on what Griggs had just rold them, Dean thought it might have been justified."
"yowl","yowl","impf"," As soon as this was done, all the young foxes began to yowl from blood-thirst, and threw themselves on Smirre."
"wreak","wreaking","pf"," Even the poles sometimes : hacked them down with a real vengeance, like a tribe of Red Indians wreaking sacrilege against enemies ’ totem posts."
"evaporate","evaporated","pf"," But now that discrepancy had evaporated."
"commission","commissioned","pf"," "" Earthman, the planet you lived on was commissioned, paid for, and run by mice."
"muff","muff","pf"," If we muff this case, it 's a big, long step toward the point where we can stop looking forward to collecting our pension-tab booklets."
"quiet","quieted","pf"," They just waited stolidly on the other side of the barrier until the City quieted the mob with somno vapor and retch gas."
"flip","flipped","pf"," Those - very few - who witnessed the event and survived swear that the whole hundred thousand square miles of the desert rose into the air like a mile-thick pancake, flipped itself over and fell back down."
"disband","disbanded","pf"," The streifkorps was disbanded and left the barracks."
"connect","connected","pf"," Crawling along on his hands and knees he followed the feedline to the point where it connected with the ship."
"hand","handed","pf"," Thunderous applause broke out as Max strode across the stage and handed his microphone to the Prophet."
"pervert","pervert","impf"," Would you prefer to bow down before codswallop and pervert your life at the whim of a priesthood, all in the name of a supposed seriousness?"
"rescind","rescind","pf"," "" But I 've signed a custody order, and I will not rescind it while we wait for a hearing."
"resume","resumed","impf"," The figure trudged, or rather sloshed, onwards till the hill resumed and the treacherous sheet of water was left behind."
"rebuild","rebuilt","pf"," They opened it on the outskirts of the town, under the tall poplars which grew on the Straziste slopes, in an old Turkish house which they completely rebuilt."
"barricade","barricading","pf"," As he had anticipated, a thundering iron gate fell nearby, barricading the entrance to the suite."
"address","address","pf"," Finally they composed themselves, and Benji moved forward to address Arthur."
"twiddle","twiddle","impf"," All I need to do is sign the contract and then twiddle my thumbs for a year. """
"deaden","deadened","impf"," The thick dust deadened our footsteps."
"excavate","excavate","impf"," Drawing on this knowledge, awareness can excavate time further, finding deep within time powerful energies that allow experience to manifest in completely new patterns."
"ramble","rambled","impf"," After three days in the hospital, two days in jail, seven hours in the car, and six hours in the motel, Mark could barely restrain himself as they rambled through the woods."
"wipe","wiped","pf"," Ford moved away from the computer terminal, wiped a sleeve across his forehead and slumped back against the wall."
"halt","halt","pf"," If the density is less than a certain critical value, determined by the rate of expansion, the gravitational attraction will be too weak to halt the expansion."
"photograph","photographed","pf"," A limousine careered down the street, dodging between the piles of burning garbage, and frightening an old pack animal which lurched, screeching, out of its way, stumbled against the window of a herbal remedies shop, set off a wailing alarm, blundered off down the street, and then pretended to fall down the steps of a small pasta restaurant where it knew it would get photographed and fed."
"overwhelm","overwhelm","pf"," If he does not, it will overwhelm and destroy the organism in which it has appeared."
"police","police","impf"," When you police the world you lose a lot of cops, and Teddy and York had shared many sad moments watching the flag-covered coffins roll off the C-130 's, evidence of another debacle abroad."
"throw","threw","impf"," The other bounded up the tree and threw horse chestnuts at Ford Prefect."
"thank","Thank","impf"," “ Good afternoon ladies and gentlemen, ” she said sweetly, “ Thank you for bearing with us during this slight delay."
"poach","poaching","impf"," Yolanda Whitney drank quietly and stared off over the pool down onto Rome, poaching in its heat miasma."
"disguise","disguise","pf"," Mehmed Pasha revelled in the cordial conversation of his friends and laughed even more than usual, like a man who could not disguise the extent of his satisfaction and happiness that he had been graced by his Sultan 's favour."
"wrap","wrapped","pf"," If you took a couple of David Bowies and stuck one of the David Bowies on the top of the other David Bowie, then attached another David Bowie to the end of each of the arms of the upper of the first two David Bowies and wrapped the whole business up in a dirty beach robe you would then have something which did n't exactly look like John Watson, but which those who knew him would find hauntingly familiar."
"discuss","discuss","impf"," “ Perhaps, ” interrupted the green blur who had by this time resolved into the shape of a small wizened dark-suited green waiter, “ perhaps you would care to discuss the matter over drinks ... ”"
"reimburse","reimburse","pf"," He was ordered to immediately turn over the phone to the Brethren within twenty-four hours, and to reimburse Mr. T-Bone $450 for long-distance charges."
"correct","corrected","pf"," “ Had, ” corrected Zaphod."
"resolve","resolved","pf"," Dixon resolved not to mind what he said to this man."
"lade","laden","pf"," Spare food and clothes and blankets and other needs were laden on a pony, none other than the poor beast that they had brought from Bree."
"unfurl","unfurled","pf"," And so it was, as you know, that we came in the third hour of the morning with a fair wind and the Sun unveiled, and we unfurled the great standard in battle."
"chill","chilled","pf"," But the winter has chilled my veins, and the frost has nipped my buds, and the storm has broken my branches, and I shall have no roses at all this year. """
"confront","confront","impf"," In the memorandum, he specifically compared his ability to confront the two deaths :"
"reunite","reunited","pf"," At midnight it becomes October 3 - Germany is reunited."
"dominate","dominated","impf"," A man standing on a brightly dressed dais before the building which clearly dominated the square was addressing the crowd over a Tannoy."
"imitate","imitating","pf"," It was some moments before he realised that he was now imitating the Principal."
"empty","emptied","pf"," You looked up at her, then stood and carefully emptied the pieces you had gathered on to the tall bed."
"deploy","Deployed","pf"," Deployed against the warmongering, God-worshipping, capitalistic Germans, they are somehow taken prisoner;"
"wish","wished","impf"," “ Probably not, ” said Arthur, who wished he ’ d never embarked on any of this."
"compute","computed","impf"," For seven and a half million years, Deep Thought computed and calculated, and in the end announced that the answer was in fact Forty-two - and so another, even bigger, computer had to be built to find out what the actual question was."
"rearrange","rearranged","pf"," I rearranged my mantle with shaking hands."
"reproduce","reproduces","impf"," An equivocal glitter, for it reproduces in the depths of the earth that other glitter that sings at the far end of the night : it resides there like an inverted promise of happiness, and, because metal resembles the stars, the knowledge of all these perilous treasures is at the same time knowledge of the world."
"tie","tied","pf"," At the same time the other one also took an involuntary step back as though he were invisibly tied to the first."
"exceed","exceeded","impf"," Miss Bingley was then sorry that she had proposed the delay, for her jealousy and dislike of one sister much exceeded her affection for the other."
"enlarge","enlarged","pf"," These keys have enlarged my radius of action."
"pervade","pervaded","impf"," The huge generators were in motion and from the L-tubes came the low-pitched whir that pervaded the entire station."
"disperse","dispersed","pf"," They all laughed and cheered it on, then gradually dispersed to their various cars and disappeared into the night"
"tip","tip","pf"," Each of the two contestants would then concentrate their will on the bottle and attempt to tip it and pour spirit into the glass of his opponent - who would then have to drink it."
"implement","implemented","pf"," "" Yes, he implemented the scheme. """
"avert","averted","pf"," A warning shout from the Registrar 's Clerk had averted complete disaster, but he could still remember the look on the face of that figure, stiffened in the shape of a letter S."
"export","export","impf"," Forbid the transfer of metal abroad, or its utilization for other ends than that of coinage, and impose customs duties such that they enable the balance of trade to be always positive; encourage the importation of raw materials, prevent as far as possible that of manufactured goods, export manufactured products rather than the commodities themselves whose disappearance leads to famine and causes the rise of prices."
"laugh","laughing","impf"," They were laughing with relief."
"dismount","dismounted","pf"," All at once Des Foss6s dismounted and suggested that Anna Maria do the same so that they could take a better look at this wood which he maintained reminded him of Italy."
"chime","chiming","impf"," Father, Mother and Margot still ca n't get used to the chiming of the Westertoren clock, which tells us the time every quarter of an hour."
"murder","murdered","pf"," That an Italian has murdered the Empress?"
"incinerate","incinerate","pf"," And it all ends in tragedy : the man who thought he was in charge is suddenly reduced to lying prone and motionless in a wooden box and his fellow men, realising that there is no more sense to be had of him, incinerate him."
"hanker","hankered","impf"," She hankered after money with a feverish longing, and then when she had it she threw it away in a manner that I ’ d consider plain bloody daft, if my own upbringing did not prevent me from using such expressions."
"pat","patted","pf"," He groped for her cheek in the darkness and patted it."
"erode","eroded","pf"," There were a dozen tiny jail cells, the iron bars on most eroded away."
"paw","pawing","impf"," The horses are pawing the ground and making your little garden shudder."
"pay","paid","pf"," All you have to do is deposit one penny in a savings account in your own era, and when you arrive at the End of Time the operation of compound interest means that the fabulous cost of your meal has been paid for."
"check","checked","pf"," He checked around the small ship."
"beset","beset","impf"," He rises early, for he is a poor sleeper, suggesting to us by expressive silences and tight-lipped shrugs a fund of battle-ground nightmares that would keep a narcolept from sleep, although I have an idea the bad memories that beset him were gathered not in the far-flung colonies but somewhere nearer home, for example on the boreens and cratered side roads of South Armagh."
"list","listed","pf"," I listed every possible way I could get the money I needed."
"lack","lacking","impf"," Arthur suspected a streak of masochism in Ford Prefect - the increasing difficulty of the journey seemed to give him a sense of purpose that was otherwise lacking."
"frustrate","frustrating","pf"," That is how it was possible for one detachment of yamaks ', the dregs of the army, led by a raving barbarian, to cast such a sultan from his throne and lock him in the Seraglio, thus completely frustrating his far-sighted plans for the salvation of the Empire, and to put on the throne a shallow wretch, a libertine, surrounded by drunkards, barbarians and professional traitors."
"remunerate","remunerate","pf"," Quesnay and his disciples analyse wealth on the basis of what is given in exchange - that is, on the basis of the superfluity that exists without any value, but that becomes value by taking part in a circuit of substitutions, in which it must remunerate each of its movements, each of its transformations, with wages, food, and subsistence, in short, with a part of that surplus of which it is itself a part."
"importune","importuned","impf"," When an older animal which happens to be eating is importuned too much by a younger one, it repels it by boxing and kicking."
"revise","revise","impf"," Chip picked up his pace as if hurrying toward a desk at which he could begin to revise the script immediately."
"ascend","ascended","impf"," When they ascended the steps to the hall, Maria 's alarm was every moment increasing, and even Sir William did not look perfectly calm."
"harm","harmed","impf"," Sophie was encouraging me to use the same substance, to do the same activity, that had so harmed her."
"avenge","avenging","pf"," Cast out of the ranks of his contemporaries right at the outset, he dreamed of surpassing them all one day by some exceptional feat and so avenging himself on them all for everything."
"embody","embody","impf"," Inasmuch as a work of literature does not embody reality in a direct sense, but only a reflection and a generalisation of it, it is as a rule concerned not with unique meanings but with specific meanings;"
"remove","removed","pf"," And slowly, "" he said pressing onwards, "" slowly, slowly slowly, all your excess body fat ... turns ... to ... "" he paused for effect, "" subcoo ... subyoo ... subtoocay ... "" - he paused for breath - "" subcutaneous gold, which you can have surgically removed."
"muster","mustered","pf"," Not more than 100 young men were taken from the entire district, but on the day they were mustered before the ' konak, peasants with their bags and a few townsmen with their wooden chests, it seemed as if there were plague and uproar in the town."
"outstrip","outstrip","pf"," Bingley and Jane, however, soon allowed the others to outstrip them."
"emancipate","emancipated","pf"," In their waking hours people often acted as though they were asleep; the newlyÂ´acauired right to shoot and kill had an overpowering effect on anybody who thought he had emancipated himself by hitching aÂ´gun round his waist."
"envisage","envisaged","impf"," He is envisaged as moving to the tropical sea-shores in search of food."
"root","rooted","impf"," I inquired after his team and rooted for it, which seemed to amuse him no end."
"wrestle","wrestled","impf"," He could see she wrestled with lying about it, but his will won out."
"motivate","motivate","impf"," by not moving toward it, you 'll be letting the bear know that you 're not trying to motivate it."
"ricochet","ricocheted","pf"," One of the police officers later told me that before they called me, they had fired a cracker shell at the bear and did n't realize until it was too late that they had hit a tree and the shell had ricocheted back behind them."
"spoil","spoil","pf"," The letters had been blurred with an airbrush, "" so as not to spoil the Big Surprise! "" it said on the reverse."
"multiply","multiplied","impf"," Here also in time the houses crowded together and the settlements multiplied at both ends of the bridge."
"lend","lend","pf"," And, if I may say so, after all that has happened here, after all the fines you have paid, I admire you for being in a position to lend anything to anyone."
"live","lived","impf"," On prehistoric Earth he had lived in a cave, not a nice cave, a lousy cave, but ..."
"worsen","worsened","pf"," Denise closed her eyes, but this substantially worsened the phase-sync problem."
"hypothesize","hypothesizes","impf"," This theory hypothesizes that Ross and Christine Hargensen ( see pp. 1-l8 ) were at the center of a loose conspiracy to get Carrie White to the Spring Ball, and, once there, complete her humiliation."
"pilot","piloted","impf"," Gary piloted the car down narrow suburban roads to the limestone gates of Waindell Park, where a long queue of cars, trucks, and minivans was waiting to enter."
"authorise","authorised","pf"," Miss Bennet was therefore established as a sweet girl, and their brother felt authorised by such commendation to think of her as he chuse."
"perform","perform","impf"," They really are the creeps of the cosmos, buzzing around the celestial infinite with their junky little machines that never work properly or, when they do, perform functions that no sane man would require of them and, "" he added savagely, "" go beep to tell you when they 've done it! """
"concentrate","concentrate","pf"," Now concentrate! ”"
"expose","exposed","pf"," ' But he 's exposed you to culture before now, surely. '"
"cheer","cheered","impf"," They all laughed and cheered it on, then gradually dispersed to their various cars and disappeared into the night"
"unfetter","unfetter","pf"," 24 : the repressive bra to unfetter her subversive breasts."
"bemoan","bemoan","impf"," I always used to bemoan the fact that I could n't draw, but now I 'm overjoyed that at least I can write."
"avow","avowed","pf"," My avowed one, or what I avowed to myself, was to see whether your sister were still partial to Bingley, and if she were, to make the confession to him which I have since made. '"
"better","better","pf"," ' Use all the wits and knowledge you have of your own, Sam, ' said Frodo, ' and then use the gift to help your work and better it."
"taint","tainted","impf"," Of course the honor was tainted somewhat by the presence of the Swiss Guards hovering outside his door."
"tinker","tinker","pf"," He can tinker an engine, Al can. """
"populate","populated","impf"," Although She resembled a human being, She had more in common with the phantoms that populated my dreams : not at all like someone I might run into on the street."
"puncture","punctured","pf"," Resolution could stay afloat if any two of her buoyancy tanks were punctured."
"service","service","impf"," The natural world is acknowledged but mostly as ' unimproved ' land suitable for wind farms, agribusiness, reservoirs and the other large-scale developments needed to service those living in the towns."
"permit","permitted","pf"," Passage across the bridge was not yet permitted, but they collected on both banks, especially on the right one where the market-place and the greater part of the town were, and watched the workers passing across it and how they worked at smoothing the stones of the parapet and the raised seats of the kapia."
"inject","injected","pf"," Morphine has been injected and quiet is essential, but an interview of a few minutes would not be absolutely forbidden. ”"
"upraise","upraised","pf"," But when one of the pensioners seized his hands in order to twine them round his neck, and, stooping, upraised the old man on his shoulders, when Joulai took the rods and lifted his hands to strike, then the Bashkir gave a long, deep moan, and, throwing back his head, opened his mouth, wherein, instead of a tongue, was moving a short stump."
"pocket","pocketing","pf"," He considered how a tacit transaction ( pocketing the cash, never showing his face in here again, anonymously mailing reimbursement to the woman later ) might be safer than asking for a loan : might be, indeed, the transgression that saved his sanity."
"pile","piled","pf"," A large old cast-iron mangle stood there, a surprising number of kitchen sinks were piled in a corner."
"channel","channelled","impf"," In all this, Mr Sullivan did not touch upon his own frustrations : since he spoke no foreign languages, his enquiries in likely countries had had to be channelled through official sources in Dublin, but the confused political hiatus before, and following, an unsatisfactory Treaty made communication far from easy."
"focus","focused","pf"," Finally, the glances focused on the steep street leading from the French Consulate to the bazaar."
"sate","sated","pf"," But that is your own curse too, that you can stop nowhere, that you can never be sated and satisfied."
"hamper","hampered","impf"," And that incomprehensible hatred hampered and disconcerted the man from Plevlje and made him still stiffer and clumsier."
"exterminate","exterminate","pf"," It is almost impossible to comprehend why the black rats did not muster themselves into a great, united war-expedition to exterminate the gray rats, while these were still few in numbers."
"approach","approach","impf"," Slowly the deer would approach, step by step, until it was almost nuzzling him, whereupon Ford Prefect would reach out to it and break its neck."
"overshadow","overshadowed","pf"," Spicer figured the thrill of finding random partners overshadowed the risks."
"usher","ushered","pf"," She ushered him into an impeccably furnished sitting room where the lights were low."
"misappropriate","misappropriated","pf"," The experience of having something misappropriated in this way - something I had actually thought and written, something that was true - clarified for me with fresh urgency that the truth is not simply what you think it is; it is also the circumstances in which it is said, and to whom, why, and how it is said."
"conjecture","conjecture","impf"," "" As the earth and ocean were probably peopled with vegetable productions long before the existence of animals; and many families of these animals long before other families of them, shall we conjecture that one and the same kind of living filaments is and has been the cause of all organic life? "" asked the polymathic poet and physician Erasmus Darwin in 1794."
"peg","pegging","pf"," "" M. Daladier, "" he read finding his place in the column, "" has been successful in pegging down the franc .... """
"experiment","experimented","impf"," He held one in one hand and the other in the other, and experimented with the different ways of bringing them together."
"flop","flop","pf"," I thought that if her belt buckle were to fail and the belt snap her trunk would flop into a perfectly spherical shape with her head on top like a large cherry on a, well, on a bun."
"bump","bumped","pf"," The dean remembered who I was when he bumped into me one afternoon in the corridor outside his office."
"hate","hated","impf"," Zaphod hated his voice."
"block","blocks","pf"," It blocks the dopamine, but your brain does n't care, because the coke is so much better that the usual stuff."
"ordain","ordained","pf"," Furthermore, the law states that Election by Adoration supercedes the cardinal eligibility requirement and permits ANY clergyman - ordained priest, bishop, or cardinal - to be elected."
"revive","revived","pf"," They ’ re going to be revived. ”"
"mull","mulling","impf"," The young man was not mulling over in his memory the conversations he had had during the day."
"write","write","impf"," “ How can they sit and write a guide for hitch-hikers in a place like this? ” continued the voice."
"flow","flowed","impf"," "" And I am certain, "" said the frizzy ginger-haired youth with the long thin nose who was epostulating from his deckchair by the side of the Serpentine, "" that if one worked the argument through, one would find that it flowed with perfect naturalness and logic from everything, "" he insisted to his thin dark-haired companion who was slumped in the next door deckchair feeling dejected about his spots, "" that Darwin was going on about."
"pet","petting","impf"," She loved to run through Market Square, looking at things, petting the horses, joining other children in their games, sampling smoked fish from various stalls."
"order","order","pf"," “ Now, if you would care to order drinks at last, ” he said, “ I will then show you to your table. ”"
"wage","waged","impf"," In that great and strange struggle, which had been waged in Bosnia for centuries between two faiths, for land and power and their own conception of life and order, the adversaries had taken from each other not only women, horses and arms but also songs."
"explicate","explicate","impf"," It is not appropriate, however, to explicate hints, spell out what was left unsaid or fill out the meaning where it was cryptic even for the reader of the original."
"modulate","modulated","impf"," As trees, grass and hedge run together, the bees seem to relocate, and hum from a new spot within his head, their pitch and volume being modulated from inside him now, not outside."
"proceed","proceeded","impf"," In this too he proceeded differently from all his predecessors."
"inter","interred","pf"," Langdon thought of the notorious Templar round-up in 1307 - unlucky Friday the thirteenth - when Pope Clement killed and interred hundreds of Knights Templar."
"understand","understood","impf"," Again, tricky to know why this is understood as fighting behaviour."
"dismiss","dismissed","pf"," He dismissed the workers and stopped the work."
"birth","birthed","impf"," At the last station he was gaining horses all of a sudden, and now out of the clean-and-clear sky he is even having chief field chaplains birthed in the arrestee car."
"gore","gored","pf"," An ' there 's the place down by the barn where Pa got gored to death by a bull."
"propose","proposing","impf"," "" Sorry, I thought you were proposing a toast, "" he said."
"destine","destined","pf"," And it stuck up curiously on his head as though someone else 's hand had placed it, in the dark, on a corpse which would never again adjust or remove it, for it was destined to be buried and rot with him."
"flog","flogging","pf"," the legally enforceable right, whilst on Lithuanian soil, to such titles and honorifics as "" Your Lordship "" and "" Your Ladyship "" and "" Your Grace, "" with non-use by service personnel punishable by public flogging and up to sixty days in jail!"
"remit","remitted","pf"," ' All penalty is remitted for your valour in battle, and still more because all that you did was for the love of the Lord Faramir."
"glint","glinting","impf"," And what a gloatingly feline look victorious Chloe gave me over her shoulder, her face unpleasantly pinched and an eye-tooth glinting."
"install","installed","pf"," However, next summer, the water supply was installed, even as so many earlier works had been introduced and completed."
"even","even","pf"," ‘ Yet, ’ corrected Crowley, who felt a little more comfortable, now the odds were closer to even."
"analyze","analyzed","impf"," Des Fosses, on the other hand, with an objectivity that astonished Daville, analyzed all the phenomena around him, endeavouring to find reasons for them both in themselves and in the conditions which had given rise to them, regardless of the damage or benefit, comfort or discomfort which they might momentarily afford the Consulate."
"ensue","ensuing","impf"," But in the ensuing silence Dixon swiftly decided to back down."
"coach","coached","impf"," He joined Pat at teacher conferences, coached T-ball and soccer teams, participated in and contributed to every aspect of Gavin 's development."
"wait","wait","impf"," At this point he decided he would not wait all day after all, he would merely pretend that the last half hour hadn ’ t happened."
"blackmail","blackmail","impf"," He would blackmail us by threatening to tell Peach, or use information we had innocently given him to make us do what he wanted."
"save","save","pf"," “ While you save your skins. ”"
"stagger","staggered","pf"," ‘ I remember being staggered, ’ my brother told me, ‘ when J. described how every night Father had kept them up to the early hours with his anecdotes and lively conversation."
"matter","matter","impf"," Ford would get out of his skull on whisky, huddle into a corner with some girl and explain to her in slurred phrases that honestly the colour of the flying saucers did n't matter that much really."
"restrict","restricted","impf"," R. Daneel 's resemblance to humanity was not restricted to his face and hands but had been carried out with painstaking accuracy over the entire body."
"enliven","enliven","pf"," Not even plum brandy could enliven and improve their mood."
"top","top","pf"," It 's hard to top those, and I have never since seen anything remotely like them."
"peep","peeped","impf"," Catherine Baker Martin peeped around the curtain and saw the man trying to put the chair into the back of the truck."
"peer","peered","impf"," He pit his head right down to the ground and peered."
"imprison","imprisoned","pf"," Around that winding, circling kolo of young bodies tirelessly leaping up and down in the same rhthym, the children played, running in and out between the dancing feet as if through a moving fence, standing in the centre of this kolo which was being danced for the first time in their lives on that bridge about which there had been so much talk for years, and even on the kapia, wherein, it was said, the unlucky Arab was imprisoned and showed himself of nights."
"ladle","ladling","pf"," "" Orange, Longbottom, "" said Snape, ladling some up and allowing to splash back into the cauldron, so that everyone could see."
"tot","totted","pf"," The total from all twelve questions was then totted up."
"wail","wailed","impf"," Mother wailed, screaming incoherently at him."
"persecute","persecuted","impf"," That brought in its train expenses and inconveniences and dangers not only for the Turks, but especially for the Serbs who were suspected, persecuted and fined in those years more than ever before."
"tow","towing","impf"," But four hours later the fish was still swimming steadily out to sea, towing the skiff, and the old man was still braced solidly with the line across his back."
"REQUIRE","REQUIRE","impf"," WHAT DATA DO YOU REQUIRE?"
"roast","roasted","pf"," ' I was joking, ' said the cat meekly ' and as for those tigers, I 'll have them roasted. '"
"haul","hauled","impf"," The crowd surged and closed behind them again, as frantically they pushed and hauled the rattling supermarket trolley through the rubble towards the ramp."
